id,categoria,nombre,coleccion,badge,espesor,medidas,unidad_venta,precio_base,cobertura_caja,tira_longitud_ft,color_nombre,color_codigo,color_hex,imagen_url,notas
spc-5.5mm-pulse-select,piso,Pulse Select Collection,Pulse Select,BEST SELLER,5.5 mm,"7"" x 48""",sqft,1.49,24.26,,Moody Gray,Q-0115,#30302C,https://raw.githubusercontent.com/JanuelDesign/quicksurfacesplanks/refs/heads/main/public/images/products/pulse-select/plank_1_moody_gray.webp,Capa de uso: 20 Mil. 9 tablas/caja. SPC Vinyl 5.5 mm con manta acústica integrada. Alta resistencia para hogar y oficina.
spc-5.5mm-pulse-select,piso,Pulse Select Collection,Pulse Select,BEST SELLER,5.5 mm,"7"" x 48""",sqft,1.49,24.26,,Fearless Gray,Q-02,#A09D99,https://raw.githubusercontent.com/JanuelDesign/quicksurfacesplanks/refs/heads/main/public/images/products/pulse-select/plank_2_fearless_gray.webp,Capa de uso: 20 Mil. 9 tablas/caja. SPC Vinyl 5.5 mm con manta acústica integrada. Alta resistencia para hogar y oficina.
spc-5.5mm-pulse-select,piso,Pulse Select Collection,Pulse Select,BEST SELLER,5.5 mm,"7"" x 48""",sqft,1.49,24.26,,Trustable Oak,Q-03,#BDB5A4,https://raw.githubusercontent.com/JanuelDesign/quicksurfacesplanks/refs/heads/main/public/images/products/pulse-select/plank_3_trustable_oak.webp,Capa de uso: 20 Mil. 9 tablas/caja. SPC Vinyl 5.5 mm con manta acústica integrada. Alta resistencia para hogar y oficina.
spc-5.5mm-pulse-select,piso,Pulse Select Collection,Pulse Select,BEST SELLER,5.5 mm,"7"" x 48""",sqft,1.49,24.26,,Grateful Pine,Q-04,#AE9573,https://raw.githubusercontent.com/JanuelDesign/quicksurfacesplanks/refs/heads/main/public/images/products/pulse-select/plank_4_grateful_pine.webp,Capa de uso: 20 Mil. 9 tablas/caja. SPC Vinyl 5.5 mm con manta acústica integrada. Alta resistencia para hogar y oficina.
spc-5.5mm-pulse-select,piso,Pulse Select Collection,Pulse Select,BEST SELLER,5.5 mm,"7"" x 48""",sqft,1.49,24.26,,Vital Oak,Q-05,#E3CBAA,https://raw.githubusercontent.com/JanuelDesign/quicksurfacesplanks/refs/heads/main/public/images/products/pulse-select/plank_5_vital_oak.webp,Capa de uso: 20 Mil. 9 tablas/caja. SPC Vinyl 5.5 mm con manta acústica integrada. Alta resistencia para hogar y oficina.
spc-5.5mm-pulse-select,piso,Pulse Select Collection,Pulse Select,BEST SELLER,5.5 mm,"7"" x 48""",sqft,1.49,24.26,,Polar Pearl,Q-09,#C9CAC9,https://raw.githubusercontent.com/JanuelDesign/quicksurfacesplanks/refs/heads/main/public/images/products/pulse-select/plank_9_polar_pearl.webp,Capa de uso: 20 Mil. 9 tablas/caja. SPC Vinyl 5.5 mm con manta acústica integrada. Alta resistencia para hogar y oficina.
spc-5.5mm-pulse-select,piso,Pulse Select Collection,Pulse Select,BEST SELLER,5.5 mm,"7"" x 48""",sqft,1.49,24.26,,Serenity Oak,Q-10,#C2B19C,https://raw.githubusercontent.com/JanuelDesign/quicksurfacesplanks/refs/heads/main/public/images/products/pulse-select/plank_10_serenity_oak.webp,Capa de uso: 20 Mil. 9 tablas/caja. SPC Vinyl 5.5 mm con manta acústica integrada. Alta resistencia para hogar y oficina.
spc-5.5mm-pulse-select,piso,Pulse Select Collection,Pulse Select,BEST SELLER,5.5 mm,"7"" x 48""",sqft,1.49,24.26,,Classic Walnut,Q-11,#6D5740,https://raw.githubusercontent.com/JanuelDesign/quicksurfacesplanks/refs/heads/main/public/images/products/pulse-select/plank_11_classic_walnut.webp,Capa de uso: 20 Mil. 9 tablas/caja. SPC Vinyl 5.5 mm con manta acústica integrada. Alta resistencia para hogar y oficina.
spc-5.5mm-pulse-select,piso,Pulse Select Collection,Pulse Select,BEST SELLER,5.5 mm,"7"" x 48""",sqft,1.49,24.26,,Oregon Vintage,Q-12,#92836D,https://raw.githubusercontent.com/JanuelDesign/quicksurfacesplanks/refs/heads/main/public/images/products/pulse-select/plank_12_oregon_vintage.webp,Capa de uso: 20 Mil. 9 tablas/caja. SPC Vinyl 5.5 mm con manta acústica integrada. Alta resistencia para hogar y oficina.
spc-5.5mm-pulse-select,piso,Pulse Select Collection,Pulse Select,BEST SELLER,5.5 mm,"7"" x 48""",sqft,1.49,24.26,,Harmony Gray,Q-13,#615B4F,https://raw.githubusercontent.com/JanuelDesign/quicksurfacesplanks/refs/heads/main/public/images/products/pulse-select/plank_13_harmony_gray.webp,Capa de uso: 20 Mil. 9 tablas/caja. SPC Vinyl 5.5 mm con manta acústica integrada. Alta resistencia para hogar y oficina.
